         gisjoin           tract_id City State stateabbr statedesc countyname placename                  placefips place_tractid           access2015
nbr.val       NA  1.58820000000e+04   NA    NA        NA        NA         NA        NA         15058.000000000000            NA  15058.0000000000000
nbr.null      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.000000000000            NA      0.0000000000000
nbr.na        NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA           824.000000000000            NA    824.0000000000000
min           NA 5.30132487394e-315   NA    NA        NA        NA         NA        NA         15003.000000000000            NA      2.9000000953674
max           NA 2.72127342952e-313   NA    NA        NA        NA         NA        NA       5553000.000000000000            NA     64.0999984741211
range         NA 2.66826018078e-313   NA    NA        NA        NA         NA        NA       5537997.000000000000            NA     61.1999983787537
sum           NA 2.18031061219e-309   NA    NA        NA        NA         NA        NA   42233039762.000000000000            NA 275899.0999567509280
median        NA 1.58115846524e-313   NA    NA        NA        NA         NA        NA       3260600.000000000000            NA     16.0000000000000
mean          NA 1.37281867029e-313   NA    NA        NA        NA         NA        NA       2804691.178244122770            NA     18.3224266142085
SE.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         13228.471679999062            NA      0.0857641097672
CI.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         25929.412409634813            NA      0.1681080797459
var           NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA 2635036507681.393554687500            NA    110.7588558486982
std.dev       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA       1623279.553152011242            NA     10.5242033355831
coef.var      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.578773009215            NA      0.5743891656481
                arthritis2015            binge2015          bphigh2015             bpmed2015          cancer2015          casthma2015             chd2015
nbr.val   15058.0000000000000  15058.0000000000000  15058.000000000000   15058.0000000000000 15058.0000000000000  15058.0000000000000 15058.0000000000000
nbr.null      0.0000000000000      0.0000000000000      0.000000000000       0.0000000000000     0.0000000000000      0.0000000000000     0.0000000000000
nbr.na      824.0000000000000    824.0000000000000    824.000000000000     824.0000000000000   824.0000000000000    824.0000000000000   824.0000000000000
min           2.0999999046326      2.5000000000000      5.699999809265      11.5000000000000     0.6999999880791      5.5000000000000     0.4000000059605
max          55.4000015258789     43.2000007629395     71.000000000000      93.1999969482422    20.8999996185303     19.2999992370605    34.5999984741211
range        53.3000016212463     40.7000007629395     65.300000190735      81.6999969482422    20.1999996304512     13.7999992370605    34.1999984681606
sum      323777.8000245095463 255485.2999987602525 465040.399811744923 1089070.9001722335815 80539.7000029087067 145361.2001304626465 84946.8000198304653
median       21.0000000000000     16.3999996185303     29.500000000000      73.3000030517578     5.1999998092651      9.3000001907349     5.4000000953674
mean         21.5020454259868     16.9667485721052     30.883277979263      72.3250697418139     5.3486319566283      9.6534201175762     5.6413069477906
SE.mean       0.0494076780859      0.0340754368337      0.071274593760       0.0612050004856     0.0133319741430      0.0151680624949     0.0173197129833
CI.mean       0.0968450545371      0.0667919980533      0.139706867175       0.1199692404016     0.0261322898177      0.0297312461635     0.0339487426532
var          36.7583646895221     17.4843767840378     76.495659662294      56.4080522876061     2.6764320272353      3.4643958646721     4.5169852698987
std.dev       6.0628676952018      4.1814323842480      8.746179718157       7.5105294279169     1.6359804483047      1.8612887644511     2.1253200394055
coef.var      0.2819670210479      0.2464486561157      0.283201146071       0.1038440675512     0.3058689514573      0.1928113292264     0.3767424923116
                   checkup2015        cholscreen2015            colon2015            copd2015            corem2015            corew2015        csmoking2015
nbr.val    15058.0000000000000   15058.0000000000000  15053.0000000000000 15058.0000000000000  15013.0000000000000  15006.0000000000000  15058.000000000000
nbr.null       0.0000000000000       0.0000000000000      0.0000000000000     0.0000000000000      0.0000000000000      0.0000000000000      0.000000000000
nbr.na       824.0000000000000     824.0000000000000    829.0000000000000   824.0000000000000    869.0000000000000    876.0000000000000    824.000000000000
min           45.7999992370606      29.3999996185303     23.3999996185303     1.1000000238419     13.1000003814697      9.6000003814697      4.500000000000
max           89.4000015258789      94.4000015258789     81.5000000000000    25.0000000000000     50.7000007629395     53.7999992370606     49.099998474121
range         43.6000022888183      65.0000019073486     58.1000003814697    23.8999999761581     37.6000003814698     44.1999988555909     44.599998474121
sum      1036964.8001441956731 1087843.1999797821045 881647.7000904085580 92979.1000269651413 436625.2999992372934 417880.2998504640418 284697.799974441587
median        68.6999969482422      72.9000015258789     59.5999984741211     5.6999998092651     28.7999992370606     27.3999996185303     18.000000000000
mean          68.8647097983926      72.2435383171591     58.5695675340735     6.1747310417695     29.0831479384025     27.8475476376425     18.906747242293
SE.mean        0.0505491308397       0.0663044811802      0.0792527708129     0.0206734091163      0.0537556016289      0.0608912077342      0.054741395080
CI.mean        0.0990824406777       0.1299648424034      0.1553450680927     0.0405223947148      0.1053675385620      0.1193542017194      0.107299788157
var           38.4764218781449      66.1992478537003     94.5479183119313     6.4356362783596     43.3825362385008     55.6383341251041     45.123109009072
std.dev        6.2029365528067       8.1362920211667      9.7235753872704     2.5368555887870      6.5865420547128      7.4591108133010      6.717373669007
coef.var       0.0900742422493       0.1126231108095      0.1660175377189     0.4108447107455      0.2264728037234      0.2678552133337      0.355289758885
                  dental2015         diabetes2015         highchol2015           kidney2015              lpa2015           mhlth2015          obesity2015
nbr.val   15058.000000000000  15058.0000000000000  15058.0000000000000 15058.00000000000000  15058.0000000000000  15058.000000000000  15058.0000000000000
nbr.null      0.000000000000      0.0000000000000      0.0000000000000     0.00000000000000      0.0000000000000      0.000000000000      0.0000000000000
nbr.na      824.000000000000    824.0000000000000    824.0000000000000   824.00000000000000    824.0000000000000    824.000000000000    824.0000000000000
min          20.100000381470      0.8000000119209      8.5000000000000     0.50000000000000      8.5000000000000      4.800000190735     10.8000001907349
max          86.599998474121     38.9000015258789     57.7000007629395    10.50000000000000     59.5999984741211     29.799999237061     55.2000007629395
range        66.499998092651     38.1000015139580     49.2000007629395    10.00000000000000     51.0999984741211     24.999999046326     44.4000005722046
sum      879706.000146866078 167752.2000177502632 519548.3997764589731 42378.19995409250259 420700.0999517442542 196815.400081157684 452939.0999841691810
median       59.299999237061     10.3000001907349     34.9000015258789     2.70000004768372     27.5000000000000     12.699999809265     29.1000003814697
mean         58.421171480068     11.1404037732601     34.5031478135515     2.81433124944166     27.9386439070092     13.070487453922     30.0796320882036
SE.mean       0.111914194760      0.0377695702933      0.0423248826036     0.00706044116567      0.0718383995164      0.029258369707      0.0691482428291
CI.mean       0.219365424867      0.0740329486551      0.0829619144800     0.01383932287925      0.1408119949885      0.057349960972      0.1355389608935
var         188.598242477565     21.4808459476808     26.9748362609655     0.75063873191579     77.7106585035949     12.890433996171     71.9995181054161
std.dev      13.733107531712      4.6347433529464      5.1937304763499     0.86639409734588      8.8153649104047      3.590325054389      8.4852529782804
coef.var      0.235070731788      0.4160301051270      0.1505291779294     0.30785078960331      0.3155258694640      0.274689453400      0.2820929775138
                   phlth2015            sleep2015          stroke2015           access2016        arthritis2016            binge2016           bphigh2016
nbr.val   15058.000000000000  15058.0000000000000 15058.0000000000000  15566.0000000000000  15566.0000000000000  15566.0000000000000  15566.0000000000000
nbr.null      0.000000000000      0.0000000000000     0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000      0.0000000000000
