         gisjoin           tract_id City State stateabbr statedesc countyname placename                  placefips place_tractid
nbr.val       NA  1.58820000000e+04   NA    NA        NA        NA         NA        NA         15058.000000000000            NA
nbr.null      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.000000000000            NA
nbr.na        NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA           824.000000000000            NA
min           NA 5.30132487394e-315   NA    NA        NA        NA         NA        NA         15003.000000000000            NA
max           NA 2.72127342952e-313   NA    NA        NA        NA         NA        NA       5553000.000000000000            NA
range         NA 2.66826018078e-313   NA    NA        NA        NA         NA        NA       5537997.000000000000            NA
sum           NA 2.18031061219e-309   NA    NA        NA        NA         NA        NA   42233039762.000000000000            NA
median        NA 1.58115846524e-313   NA    NA        NA        NA         NA        NA       3260600.000000000000            NA
mean          NA 1.37281867029e-313   NA    NA        NA        NA         NA        NA       2804691.178244122770            NA
SE.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         13228.471679999062            NA
CI.mean       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA         25929.412409634813            NA
var           NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA 2635036507681.393554687500            NA
std.dev       NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA       1623279.553152011242            NA
coef.var      NA  0.00000000000e+00   NA    NA        NA        NA         NA        NA             0.578773009215            NA
                   access2015        arthritis2015            binge2015          bphigh2015             bpmed2015          cancer2015
coef.var      0.1928113292264     0.3767424923116       0.0900742422493       0.1126231108095      0.1660175377189     0.4108447107455
                    corem2015            corew2015        csmoking2015          dental2015         diabetes2015         highchol2015
nbr.val   15013.0000000000000  15006.0000000000000  15058.000000000000  15058.000000000000  15058.0000000000000  15058.0000000000000
nbr.null      0.0000000000000      0.0000000000000      0.000000000000      0.000000000000      0.0000000000000      0.0000000000000
nbr.na      869.0000000000000    876.0000000000000    824.000000000000    824.000000000000    824.0000000000000    824.0000000000000
min          13.1000003814697      9.6000003814697      4.500000000000     20.100000381470      0.8000000119209      8.5000000000000
max          50.7000007629395     53.7999992370606     49.099998474121     86.599998474121     38.9000015258789     57.7000007629395
range        37.6000003814698     44.1999988555909     44.599998474121     66.499998092651     38.1000015139580     49.2000007629395
sum      436625.2999992372934 417880.2998504640418 284697.799974441587 879706.000146866078 167752.2000177502632 519548.3997764589731
median       28.7999992370606     27.3999996185303     18.000000000000     59.299999237061     10.3000001907349     34.9000015258789
mean         29.0831479384025     27.8475476376425     18.906747242293     58.421171480068     11.1404037732601     34.5031478135515
SE.mean       0.0537556016289      0.0608912077342      0.054741395080      0.111914194760      0.0377695702933      0.0423248826036
CI.mean       0.1053675385620      0.1193542017194      0.107299788157      0.219365424867      0.0740329486551      0.0829619144800
var          43.3825362385008     55.6383341251041     45.123109009072    188.598242477565     21.4808459476808     26.9748362609655
std.dev       6.5865420547128      7.4591108133010      6.717373669007     13.733107531712      4.6347433529464      5.1937304763499
coef.var      0.2264728037234      0.2678552133337      0.355289758885      0.235070731788      0.4160301051270      0.1505291779294
                   kidney2015              lpa2015           mhlth2015          obesity2015           phlth2015            sleep2015
nbr.val  15058.00000000000000  15058.0000000000000  15058.000000000000  15058.0000000000000  15058.000000000000  15058.0000000000000
nbr.null     0.00000000000000      0.0000000000000      0.000000000000      0.0000000000000      0.000000000000      0.0000000000000
nbr.na     824.00000000000000    824.0000000000000    824.000000000000    824.0000000000000    824.000000000000    824.0000000000000
min          0.50000000000000      8.5000000000000      4.800000190735     10.8000001907349      3.700000047684     20.0000000000000
max         10.50000000000000     59.5999984741211     29.799999237061     55.2000007629395     37.700000762940     59.7999992370606
range       10.00000000000000     51.0999984741211     24.999999046326     44.4000005722046     34.000000715256     39.7999992370606
sum      42378.19995409250259 420700.0999517442542 196815.400081157684 452939.0999841691810 198639.300071716309 574544.2000541689340
median       2.70000004768372     27.5000000000000     12.699999809265     29.1000003814697     12.600000381470     37.5000000000000
